study,progess, comment
Aiba2005,2,emailed 2013.06.07
Aiba2007,2,emailed 2013.06.07
Albrektson1984,2,emailed 2013.06.07
Baltzer2007,2,emailed 2013.06.07
Baraloto2006,2,emailed 2013.06.07
Bond-Lamberty2002,2,emailed 2013.06.07
Brown1978,2,emailed 2013.06.07
Burger1953,2,emailed 2013.06.07
Coll2008,2,emailed 2013.06.07
Delagrange0000a,2,emailed 2013.06.07
Delagrange0000b,2,emailed 2013.06.07
Delagrange2004,2,emailed 2013.06.07
Domec2012,2,emailed 2013.06.07
Epron2011,2,emailed 2013.06.07
Garber2005,2,emailed 2013.06.07
Gargaglione2010,2,emailed 2013.06.07
Ghannoum2010a,2,emailed 2013.06.07
Ghannoum2010b,2,emailed 2013.06.07
Harja2012,2,emailed 2013.06.07
Ilomaki2003,2,emailed 2013.06.07
Ishihara0000,2,emailed 2013.06.07
Kantola2004,2,emailed 2013.06.07
Kelly0000a,2,emailed 2013.06.07
Kelly0000b,2,emailed 2013.06.07
Kenzo2009,2,emailed 2013.06.07
Kenzo2009b,2,emailed 2013.06.07
King1994,2,emailed 2013.06.07
Kohyama1987,2,emailed 2013.06.07
Kohyama1990,2,emailed 2013.06.07
Kohyama1994,2,emailed 2013.06.07
leMaire2011,2,emailed 2013.06.07
Lewis2013,2,emailed 2013.06.07
Lusk0000a,2,emailed 2013.06.07
Lusk0000b,2,emailed 2013.06.07
Lusk2002,2,emailed 2013.06.07
Lusk2004,2,emailed 2013.06.07
Lusk2011,2,emailed 2013.06.07
Lusk2012,2,emailed 2013.06.07
Maguire1998,2,emailed 2013.06.07
Martin1998,2,emailed 2013.06.07
McCulloh2010,2,emailed 2013.06.07
Mokany2003,2,emailed 2013.06.07
Monserud1999,2,emailed 2013.06.07
Mori1991,2,emailed 2013.06.07
Myster2009,2,emailed 2013.06.07
Nouvellon2010,2,emailed 2013.06.07
O'Grady2000,2,emailed 2013.06.07
O'Grady2006,2,emailed 2013.06.07
O'Hara0000,2,emailed 2013.06.07
O'Hara1995,2,emailed 2013.06.07
Osada0000,2,emailed 2013.06.07
Osada2003,2,emailed 2013.06.07
Osada2005,2,emailed 2013.06.07
Osunkoya2007,2,emailed 2013.06.07
Parviainen1999,2,emailed 2013.06.07
Peri0000,2,emailed 2013.06.07
Peri2008,2,emailed 2013.06.07
Peri2011,2,emailed 2013.06.07
Petritan2009,2,emailed 2013.06.07
Reid2004,2,emailed 2013.06.07
Ribeiro2011,2,emailed 2013.06.07
Roberts2004,2,emailed 2013.06.07
Rodriguez2003,2,emailed 2013.06.07
Roeh1997,2,emailed 2013.06.07
Roth2007,2,emailed 2013.06.07
Salazar2010,2,emailed 2013.06.07
SantaRegina0000,2,emailed 2013.06.07
SantaRegina1999,2,emailed 2013.06.07
Selaya2007,2,emailed 2013.06.07
Selaya2008,2,emailed 2013.06.07
Selaya2008b,2,emailed 2013.06.07
Sillett2010,2,emailed 2013.06.07
Stancioiu2005,2,emailed 2013.06.07
Sterck0000,2,emailed 2013.06.07
Sterck2001,2,emailed 2013.06.07
Tissue0000a,2,emailed 2013.06.07
Tissue0000b,2,emailed 2013.06.07
Tissue0000c,2,emailed 2013.06.07
Valladares2000,2,emailed 2013.06.07
Vanninen2005,2,emailed 2013.06.07
Wang1995,2,emailed 2013.06.07
Wang1996,2,emailed 2013.06.07
Wang2000,2,emailed 2013.06.07
Wang2011,2,emailed 2013.06.07
Yamada1996,2,emailed 2013.06.07
Yamada2000,2,emailed 2013.06.07
