dataset,location,latitude,longitude,vegetation,species,family,pft,a.cp,a.lf,h.t,h.c,d.bh,m.lf,growingCondition
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,5.2,2.11,4.4,1.1,0.025,0.1,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,3.6,3.38,3.1,0.5,0.035,0.16,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,7.2,4.64,5.7,1.3,0.04,0.22,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,43.3,12.45,7.3,3.3,0.06,0.59,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,18.6,20.26,9.9,2.0,0.08,0.96,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,27.8,27.22,16.6,4.4,0.095,1.29,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,30.9,26.38,13.3,6.0,0.12,1.25,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,43.3,54.86,23.4,11.5,0.14,2.6,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,57.7,131.66,16.6,5.8,0.16,6.24,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,68.0,85.88,19.6,10.3,0.18,4.07,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,55.0,153.19,14.3,3.0,0.20,7.26,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,40.2,95.79,19.3,8.4,0.22,4.54,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,67.0,188.63,20.9,5.9,0.24,8.94,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,78.4,177.66,20.3,4.7,0.25,8.42,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,87.4,194.12,19.4,5.3,0.295,9.2,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,54.1,361.02,14.7,2.9,0.32,17.11,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,138.5,171.54,20.5,4.6,0.35,8.13,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,95.9,529.61,24.1,5.8,0.405,25.1,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,143.4,458.93,27.1,8.6,0.52,21.75,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,169.1,628.36,27.1,5.1,0.60,29.78,FW
Morisawa1957,Japan-Takaragawa forest hydrological station-,36.85,139.02,TempF,Fagus crenata,Fagaceae,DA,244.7,1318.96,31.1,5.9,0.76,62.51,FW
